,Age,Sex,Embarked
399,36.0,female,S
400,40.0,male,S
401,28.0,male,S
402,,male,S
403,,female,S
404,24.0,male,S
405,19.0,male,S
406,29.0,female,S
407,32.0,male,S
408,62.0,male,S
409,53.0,female,S
410,36.0,male,S
411,16.0,male,S
412,19.0,male,S
413,34.0,female,S
414,39.0,female,S
415,32.0,male,S
416,25.0,female,S
417,54.0,male,S
418,18.0,female,S
419,47.0,male,S
420,22.0,male,S
421,,male,S
422,35.0,male,S
423,47.0,male,S
424,37.0,male,S
425,36.0,male,S
426,,female,S
427,49.0,male,S
428,24.0,female,S
429,,male,S
430,,male,S
431,44.0,male,S
432,36.0,male,S
433,30.0,male,S
434,27.0,male,S
435,40.0,female,S
436,39.0,female,S
437,,male,S
438,35.0,male,S
439,24.0,female,S
440,34.0,male,S
441,26.0,female,S
442,4.0,female,S
443,26.0,male,S
444,42.0,male,S
445,21.0,male,S
446,21.0,male,S
447,61.0,male,S
448,21.0,female,S
449,26.0,male,S
450,80.0,male,S
451,51.0,male,S
452,,male,S
453,9.0,female,S
454,28.0,female,S
455,32.0,male,S
456,31.0,male,S
457,41.0,female,S
458,,male,S
459,20.0,male,S
460,2.0,female,S
461,,male,S
462,19.0,male,S
463,,male,S
464,23.0,female,S
465,,male,S
466,18.0,female,S
467,21.0,male,S
468,24.0,male,S
469,,male,S
470,23.0,male,S
471,50.0,male,S
472,47.0,male,S
473,36.0,male,S
474,20.0,male,S
475,32.0,male,S
476,25.0,male,S
477,,male,S
478,43.0,male,S
479,,female,S
480,40.0,female,S
481,31.0,male,S
482,70.0,male,S
483,31.0,male,S
484,,male,S
485,18.0,male,S
486,24.5,male,S
487,18.0,female,S
488,43.0,female,S
489,20.0,male,S
490,14.0,male,S
491,60.0,male,S
492,14.0,male,S
493,19.0,male,S
494,18.0,male,S
495,15.0,female,S
496,31.0,male,S
497,,male,S
498,60.0,male,S
499,52.0,male,S
500,44.0,male,S
501,42.0,male,S
502,35.0,male,S
503,26.0,male,S
504,39.0,male,S
505,45.0,female,S
506,42.0,male,S
507,22.0,female,S
508,,male,S
509,48.0,male,S
510,29.0,male,S
511,52.0,male,S
512,19.0,male,S
513,27.0,female,S
514,33.0,male,S
515,6.0,female,S
516,17.0,male,S
517,34.0,male,S
518,50.0,male,S
519,27.0,male,S
520,20.0,male,S
521,30.0,female,S
522,25.0,male,S
523,25.0,female,S
524,29.0,female,S
525,,male,S
526,23.0,male,S
527,23.0,male,S
528,28.5,male,S
529,48.0,female,S
530,,male,S
531,,male,S
532,,male,S
533,36.0,male,S
534,24.0,male,S
535,31.0,male,S
536,70.0,male,S
537,16.0,male,S
538,30.0,female,S
539,19.0,male,S
540,4.0,female,S
541,6.0,male,S
542,33.0,male,S
543,23.0,male,S
544,48.0,female,S
545,0.67,male,S
546,28.0,male,S
547,18.0,male,S
548,34.0,male,S
549,33.0,female,S
550,,male,S
551,41.0,male,S
552,36.0,female,S
553,16.0,male,S
554,51.0,female,S
555,32.0,male,S
556,24.0,male,S
557,48.0,male,S
558,57.0,female,S
559,54.0,female,S
560,18.0,male,S
561,5.0,female,S
562,43.0,female,S
563,17.0,female,S
564,29.0,male,S
565,,male,S
566,25.0,male,S
567,25.0,male,S
568,18.0,female,S
569,1.0,male,S
570,16.0,male,S
571,,female,S
572,25.0,male,S
573,39.0,male,S
574,49.0,female,S
575,31.0,female,S
576,30.0,female,S
577,34.0,male,S
578,31.0,female,S
579,11.0,male,S
580,27.0,male,S
581,31.0,male,S
582,39.0,male,S
583,18.0,female,S
584,39.0,male,S
585,33.0,female,S
586,26.0,male,S
587,39.0,male,S
588,35.0,male,S
589,6.0,female,S
590,30.5,male,S
591,,male,S
592,23.0,female,S
593,43.0,male,S
594,10.0,male,S
595,52.0,female,S
596,27.0,male,S
597,38.0,male,S
598,27.0,female,S
599,2.0,male,S
600,,male,S
601,0.83,male,S
602,23.0,male,S
603,18.0,male,S
604,21.0,male,S
605,,male,S
606,32.0,male,S
607,20.0,male,S
608,16.0,male,S
609,17.0,male,S
610,42.0,male,S
611,,male,S
612,28.0,male,S
613,4.0,male,S
614,74.0,male,S
615,16.0,female,S
616,44.0,female,S
617,18.0,female,S
618,45.0,female,S
619,51.0,male,S
620,41.0,male,S
621,21.0,male,S
622,48.0,female,S
623,,female,S
624,24.0,male,S
625,42.0,female,S
626,31.0,male,S
627,,male,S
628,4.0,male,S
629,26.0,male,S
630,47.0,female,S
631,33.0,male,S
632,47.0,male,S
633,20.0,male,S
634,19.0,male,S
635,,male,S
636,25.0,female,S
637,33.0,male,S
638,22.0,female,S
639,28.0,male,S
640,25.0,male,S
641,27.0,male,S
642,19.0,female,S
643,,female,S
